Name, Qty, Unit, Price (USD), Total (USD), Source
Seeed Studio XIAO ESP32 C3, 1, pcs, 8.04, 8.04, https://www.aliexpress.us/item/3256808605622611.html?spm=a2g0o.productlist.main.1.4ef97845qBd5SM&algo_pvid=b096e515-c4b6-4b71-9feb-49b6fa017657&algo_exp_id=b096e515-c4b6-4b71-9feb-49b6fa017657-0&pdp_ext_f=%7B%22order%22%3A%221115%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.84%210.99%21%21%217.84%210.99%21%40210328d417815761467148649ed980%2112000052930246748%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Abbfc19f3%3Bm03_new_user%3A-29895%3BpisId%3A5000000207269582&curPageLogUid=sgutw4krVkZt&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008791937363%7C_p_origin_prod%3A
PSP 2-Axis Analog Thumb Joystick, 1, pcs, 3.50, 3.50, https://www.adafruit.com/product/444?srsltid=AfmBOor8oeFeQEUyqc9zcjpnPBiO4mtjF3cJeVjxOdrs84u4-aMwuCpL
0.96 inch OLED Display 128x64, 1, pcs, 1.87, 1.87, https://www.aliexpress.us/item/2251832337475453.html?src=google&snps=y&src=google&albch=shopping&acnt=708-803-3821&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en2251832337475453&ds_e_product_merchant_id=109329005&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=20542171667&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=18545443176&gbraid=0AAAAAD6I-hEGa4vCjbQEz_fnmZhTeNZeX&gclid=CjwKCAjwxb7RBhA5EiwAQ-AAdPo_B4hbtld6DJmm81xFozCqz3pqHQ8PoMJU68SPwU8ek89lr45glRoCSvoQAvD_BwE&gatewayAdapt=glo2usa
Right Angle Slide Switch, 1, pcs, 1.00, 1.00, https://www.alibaba.com/product-detail/Brand-New-Original-MST-12D18G4-SPDT_1601682630920.html
4.7k Resistor, 1, pcs, 0.01, 0.01, https://www.aliexpress.us/item/2251832130817202.html?src=google&src=google&albch=shopping&acnt=708-803-3821&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en2251832130817202&ds_e_product_merchant_id=106279061&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=19558607238&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=19566915268&gbraid=0AAAAAD6I-hF4w9uSb_bQ9009LPUlirFTl&gclid=Cj0KCQjw2_TQBhCnARIsAF3-Xhxmx7giF2xi9KZ1WlRf7dR1hDq0ibaBQ5tFXM3J4R8SRctX4AARk-UaAjeEEALw_wcB&gatewayAdapt=glo2usa
Temperature Sensor (DS18B20), 1, pcs, 0.95, 0.95, https://www.aliexpress.us/item/3256809657274090.html?src=google&src=google&albch=shopping&acnt=708-803-3821&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en3256809657274090&ds_e_product_merchant_id=5355343120&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=19558607238&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=19566915268&gbraid=0AAAAAD6I-hF4w9uSb_bQ9009LPUlirFTl&gclid=Cj0KCQjw2_TQBhCnARIsAF3-Xhw2zH7YgKml7ceSah_esmE_iauBTnJIjznMDDylPmt4JqbLrixLL-8aAlQFEALw_wcB&gatewayAdapt=glo2usa
Piezo Buzzer, 1, pcs, 0.50, 0.50, https://www.aliexpress.us/item/3256810135642750.html
Tactile Switch, 3, pcs, 2.26, 6.78, https://www.aliexpress.us/item/3256807067168626.html?spm=a2g0o.productlist.main.1.7f9258c1KLjAOZ&algo_pvid=490cc209-ccc0-4654-88ac-e48f4b2323b9&algo_exp_id=490cc209-ccc0-4654-88ac-e48f4b2323b9-0&pdp_ext_f=%7B%22order%22%3A%2210%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.03%211.99%21%21%2113.63%2113.33%21%4021032f3717815770777272760ec945%2112000039957446262%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aac76d4c5%3Bm03_new_user%3A-29895&curPageLogUid=etrecQES0Uun&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007253483378%7C_p_origin_prod%3A&_gl=1*g854wd*_gcl_au*MTkyMDAzNTI3LjE3ODE1NzYxNDk.*_ga*MTI3MjExODYxMC4xNzgxNTc3MDgw*_ga_VED1YSGNC7*czE3ODE1NzcwODAkbzEkZzAkdDE3ODE1NzcwODAkajYwJGwwJGgw
M1.6 5mm Screws, 7, pcs, 0.03, 0.21, https://www.aliexpress.us/item/2251832785290389.html?src=google&snps=y&src=google&albch=shopping&acnt=708-803-3821&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en2251832785290389&ds_e_product_merchant_id=107792874&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=20542171667&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=18545443176&gbraid=0AAAAAD6I-hEGa4vCjbQEz_fnmZhTeNZeX&gclid=CjwKCAjwxb7RBhA5EiwAQ-AAdHrgWosxNOZRkccANcNKR7vt21WIStiqv9YQWGaLNnBF2wXj5XR0PBoCLDAQAvD_BwE&gatewayAdapt=glo2usa
M3 8mm Screws, 3, pcs, 0.04, 0.13, https://www.aliexpress.us/item/2251832785290389.html?src=google&snps=y&src=google&albch=shopping&acnt=708-803-3821&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en2251832785290389&ds_e_product_merchant_id=107792874&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=20542171667&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=18545443176&gbraid=0AAAAAD6I-hEGa4vCjbQEz_fnmZhTeNZeX&gclid=CjwKCAjwxb7RBhA5EiwAQ-AAdHrgWosxNOZRkccANcNKR7vt21WIStiqv9YQWGaLNnBF2wXj5XR0PBoCLDAQAvD_BwE&gatewayAdapt=glo2usa
